species,latin,recording,duration_s,fs,n_channels,n_markers,distance_mm,stim_start_s,stim_stop_s
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-01_18.01.51,36.08,5000.0,2,2,,1.2168,13.0316
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-01_18.08.05,35.08,5000.0,2,2,,6.6166,15.2016
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-04_20.20.54,30.56,5000.0,2,2,,5.1082,12.1198
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.04.08,31.4,5000.0,2,2,,4.2462,19.6992
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.06.56,30.03,5000.0,2,2,,4.9094,12.0834
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.12.27,25.51,5000.0,2,2,,4.8726,15.7114
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.18.08,41.03,5000.0,2,2,,4.3252,12.5072
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.22.04,33.13,5000.0,2,2,,5.1244,11.199
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.24.53,31.29,5000.0,2,2,,5.203,17.316
Hierbabuena,Mentha spicata,BYB_Recording_2024-03-08_21.27.40,37.08,5000.0,2,2,,5.6374,13.26
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_22.07.27-28.8mm,58.53,5000.0,2,2,28.8,11.4578,19.8784
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_22.55.19-22mm,25.0,5000.0,2,2,22.0,5.9608,12.7882
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_23.19.28-21mm,35.28,5000.0,2,2,21.0,7.2572,13.8522
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_23.30.42-22mm,39.78,5000.0,2,2,22.0,5.6028,11.641
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_23.44.45-26mm,65.23,5000.0,2,2,26.0,4.9366,12.4746
Marijuana,Cannabis sativa,BYB_Recording_2025-09-13_01.03.00-23.11mm,62.96,5000.0,2,2,23.11,4.0526,12.4748
Marijuana,Cannabis sativa,BYB_Recording_2025-09-13_01.21.52-16.78mm,40.17,5000.0,2,2,16.78,13.6506,23.2722
Marijuana,Cannabis sativa,BYB_Recording_2025-09-13_01.45.23-24.26mm,32.63,5000.0,2,2,24.26,6.3852,14.431
Marijuana,Cannabis sativa,BYB_Recording_2025-09-13_01.52.20-21.60mm,33.78,5000.0,2,2,21.6,7.8216,16.5328
Marijuana,Cannabis sativa,BYB_Recording_2025-09-15_00.20.12-21.09mm,23.17,5000.0,2,2,21.09,4.446,11.2666
Marijuana,Cannabis sativa,BYB_Recording_2025-09-15_00.27.51-21.09mm,30.56,5000.0,2,2,21.09,4.3074,11.2602
Marijuana,Cannabis sativa,BYB_Recording_2025-09-15_00.38.35-16.49mm,39.8,5000.0,2,2,16.49,7.7984,14.979
Marijuana,Cannabis sativa,BYB_Recording_2025-09-15_00.47.20-16.06mm,31.73,5000.0,2,0,16.06,,
Mint,Mentha x piperita,BYB_Recording_2023-12-19_18.14.10,29.76,5000.0,2,2,,10.14,17.6376
Mint,Mentha x piperita,BYB_Recording_2024-01-26_19.52.38,30.29,5000.0,2,2,,5.6152,13.2286
Mint,Mentha x piperita,BYB_Recording_2024-01-26_20.00.04,38.76,5000.0,2,2,,4.473,9.9746
Mint,Mentha x piperita,BYB_Recording_2024-01-26_20.08.19,31.88,5000.0,2,2,,5.9696,12.8386
Mint,Mentha x piperita,BYB_Recording_2024-02-09_22.29.45,45.19,5000.0,2,2,,3.29,13.0276
Mint,Mentha x piperita,BYB_Recording_2024-02-12_19.02.16,35.48,5000.0,2,2,,4.5596,12.6352
Mint,Mentha x piperita,BYB_Recording_2024-02-12_20.19.02,45.06,5000.0,2,2,,2.1,11.8078
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.07.45,39.86,5000.0,2,2,,8.711,17.6818
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.11.24,42.57,5000.0,2,2,,7.3302,18.0242
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.19.15,44.01,5000.0,2,2,,9.2142,20.6054
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.22.59,40.67,5000.0,2,2,,6.0286,22.1062
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.26.22,40.2,5000.0,2,2,,6.3956,14.1834
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.32.55,47.05,5000.0,2,2,,5.21,24.1618
Mint,Mentha x piperita,BYB_Recording_2024-02-20_19.38.46,45.84,5000.0,2,2,,6.8728,18.9278
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-07_19.42.39,36.07,5000.0,2,2,,2.2868,12.9424
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-07_19.48.46,35.05,5000.0,2,2,,1.9798,15.4978
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-12_19.32.29,36.19,5000.0,2,2,,3.353,15.9674
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_18.55.40,33.37,5000.0,2,2,,2.7066,13.935
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_18.58.46,40.76,5000.0,2,2,,1.051,12.5444
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_19.03.24,31.27,5000.0,2,2,,2.3342,13.4984
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_19.07.47,40.41,5000.0,2,2,,2.9086,14.6746
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_19.10.37,36.77,5000.0,2,2,,3.1714,10.7526
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-19_19.17.58,30.68,5000.0,2,2,,2.7872,14.479
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-22_17.57.13,40.06,5000.0,2,2,,3.2194,20.0178
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-22_18.00.13,34.78,5000.0,2,2,,4.8602,10.769
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-23_19.53.15,39.05,5000.0,2,2,,2.87,13.9162
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-23_19.55.48,41.28,5000.0,2,2,,5.8048,15.11
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-23_19.59.02,39.39,5000.0,2,2,,5.3128,14.8348
Ornamental Chile,Capsicum annuum,BYB_Recording_2024-02-23_20.04.22,40.59,5000.0,2,2,,5.0998,13.7342
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-15_21.13.19,31.58,5000.0,2,2,,0.7916,11.071
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-15_21.20.04,32.41,5000.0,2,2,,1.2432,15.3868
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-15_21.27.05,35.17,5000.0,2,2,,3.7788,14.5958
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-19_19.56.50,31.35,5000.0,2,2,,5.2162,18.6502
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-23_19.35.51,40.86,5000.0,2,2,,3.1062,11.519
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-26_18.50.08,40.41,5000.0,2,2,,4.2558,13.8718
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-26_19.06.39,41.53,5000.0,2,2,,5.3418,20.8506
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-26_19.10.25,41.12,5000.0,2,2,,4.8636,10.1276
Rosemary,Salvia rosmarinus,BYB_Recording_2024-02-29_17.20.55,35.96,5000.0,2,2,,3.8842,11.972
Ruda,Ruta graveolens,BYB_Recording_2024-01-17_20.14.33,33.78,5000.0,2,2,,6.6664,12.811
Ruda,Ruta graveolens,BYB_Recording_2024-02-05_19.17.48,36.88,5000.0,2,2,,8.086,16.5238
Ruda,Ruta graveolens,BYB_Recording_2024-02-20_19.48.40,36.77,5000.0,2,2,,6.6306,18.0144
Ruda,Ruta graveolens,BYB_Recording_2024-02-20_19.51.32,45.1,5000.0,2,2,,5.3932,15.5906
Ruda,Ruta graveolens,BYB_Recording_2024-02-20_19.54.12,40.44,5000.0,2,2,,6.8376,18.8
Ruda,Ruta graveolens,BYB_Recording_2024-02-20_19.57.31,40.14,5000.0,2,2,,5.878,17.1242
Ruda,Ruta graveolens,BYB_Recording_2024-02-22_18.37.41,31.38,5000.0,2,2,,6.2054,17.8488
Ruda,Ruta graveolens,BYB_Recording_2024-02-22_18.44.37,28.92,5000.0,2,2,,5.7632,14.8224
Ruda,Ruta graveolens,BYB_Recording_2024-02-23_20.25.25,34.97,5000.0,2,2,,6.5444,15.6128
Ruda,Ruta graveolens,BYB_Recording_2024-02-29_16.58.27,33.86,5000.0,2,2,,4.5134,12.4678
Ruda,Ruta graveolens,BYB_Recording_2024-03-04_19.50.01,41.94,5000.0,2,2,,5.3108,10.631
Ruda,Ruta graveolens,BYB_Recording_2024-03-04_20.01.12,37.72,5000.0,2,2,,4.8996,11.1032
Ruda,Ruta graveolens,BYB_Recording_2024-03-06_21.31.33,38.87,5000.0,2,2,,3.2284,12.0978
Ruda,Ruta graveolens,BYB_Recording_2024-03-06_21.44.52,33.62,5000.0,2,2,,5.2672,12.4918
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2021-07-26_12.46.45,11.44,5000.0,2,0,,,
