species,latin,recording,duration_s,fs,n_channels,distance_mm,stim_start_s,stim_stop_s,n_markers,near_channel,far_channel,peak_delay_s,onset_delay_s,xcorr_delay_s,xcorr_corr,cv_peak_mm_s,cv_xcorr_mm_s,cm_baseline_r,event_zero_lag_r,r0_over_rpk,delay_resolved,near_peak_amp,far_peak_amp,attenuation_far_near,near_fwhm_s,far_fwhm_s,broadening_far_near,near_rise_s,far_rise_s,rise_ratio_far_near,near_snr,far_snr,valid,flags,distance_mm_d,sheet_delay_s,cv_manual,tau_2tap,cv_2tap
Basil,Ocimum basilicum,BYB_Recording_2024-01-28_14.51.36,43.45,5000.0,2,15.48,3.1086,23.9344,2,0,1,3.253,2.984,2.948,0.75,4.758,5.251,0.713,0.233,0.311,True,6014.8,1313.3,0.218,1.163,2.562,2.203,1.076,1.345,1.25,56.8,15.8,True,common_mode_high,15.48,3.154,4.908053265694357,-4.680000000000071,3.3076923076922577
Basil,Ocimum basilicum,BYB_Recording_2024-02-12_20.13.13,29.46,5000.0,2,18.38,1.4656,9.7322,2,1,0,2.59,2.263,0.636,0.779,7.097,28.918,0.602,0.576,0.74,True,1731.7,6626.8,3.827,1.066,1.46,1.369,0.532,0.859,1.614,170.0,262.2,True,xcorr_peak_leader_disagree;common_mode_high,18.38,1.24,14.82258064516129,-0.6200000000001573,29.645161290315052
Basil,Ocimum basilicum,BYB_Recording_2024-02-19_18.33.59,40.44,5000.0,2,6.86,3.0998,10.2818,2,0,1,1.458,-1.914,0.601,0.498,4.706,11.422,0.555,0.47,0.942,True,1198.4,663.6,0.554,1.525,2.346,1.539,1.567,4.939,3.152,44.0,11.9,True,xcorr_peak_leader_disagree,6.86,1.408,4.872159090909092,-4.70000000000007,1.4595744680850846
Basil,Ocimum basilicum,BYB_Recording_2024-02-23_19.15.06,27.23,5000.0,2,9.86,5.1838,13.4436,2,0,1,4.595,4.292,4.525,0.733,2.146,2.179,-0.631,0.061,0.083,True,8771.2,1671.5,0.191,1.865,2.039,1.093,0.441,0.744,1.685,237.9,28.2,True,,9.86,4.548,2.167985927880387,4.539999999999733,2.1718061674010087
Basil,Ocimum basilicum,BYB_Recording_2024-02-26_19.20.30,41.24,5000.0,2,7.41,5.1046,17.7018,2,0,1,6.043,4.321,6.264,0.5,1.226,1.183,0.323,0.266,0.533,True,9120.1,683.5,0.075,0.77,3.956,5.137,0.312,2.034,6.527,53.8,29.2,True,,7.41,6.098,1.2151525090193507,2.0199999999997864,3.668316831683556
Basil,Ocimum basilicum,BYB_Recording_2024-02-26_19.38.09,42.66,5000.0,2,9.72,0.5232,17.5494,2,0,1,7.878,6.833,0.002,0.733,1.234,,0.921,0.733,1.0,False,5112.4,659.6,0.129,0.98,2.314,2.361,1.217,2.263,1.859,847.0,77.7,True,delay_unresolved;common_mode_high,9.72,3.426,2.8371278458844134,3.5199999999997544,
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-20_20.46.43,30.1,5000.0,2,28.69,5.3138,15.1874,2,0,1,3.225,3.625,3.313,0.929,8.896,8.659,0.916,-0.136,0.147,True,6343.0,2649.6,0.418,1.803,1.72,0.954,1.603,1.203,0.751,152.0,242.0,True,common_mode_high,28.69,3.167,9.059046416166721,3.3199999999997587,8.64156626506087
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-23_20.12.50,49.81,5000.0,2,12.98,4.052,16.195,2,1,0,7.813,7.076,8.768,0.374,1.661,1.48,0.81,0.028,0.076,True,-411.5,2315.0,5.626,0.235,1.156,4.929,0.178,0.914,5.142,17.1,83.8,False,xcorr_peak_leader_disagree;common_mode_high;polarity_mismatch;low_waveform_similarity,12.98,7.818,1.6602711690969558,,
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-23_20.16.53,39.66,5000.0,2,14.56,4.259,18.1482,2,1,0,3.613,4.887,4.508,0.818,4.029,3.23,0.502,-0.042,0.052,True,1281.5,1726.2,1.347,3.036,3.189,1.05,3.508,2.235,0.637,142.6,75.7,True,,14.56,3.763,3.869253255381345,4.619999999999731,3.1515151515153352
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-23_20.20.33,37.51,5000.0,2,18.12,3.8348,13.4826,2,1,0,4.868,5.147,8.551,0.31,3.722,2.119,0.647,0.103,0.332,True,-472.8,2020.6,4.274,0.325,0.853,2.626,0.749,0.47,0.628,11.0,98.2,False,xcorr_peak_leader_disagree;common_mode_high;polarity_mismatch;low_waveform_similarity,18.12,8.459,2.1420971746069277,,
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-26_20.31.22,37.07,5000.0,2,13.4,4.807,13.7054,2,0,1,1.275,1.058,1.262,0.859,10.508,10.62,0.885,0.146,0.17,True,2380.1,1086.8,0.457,1.02,1.443,1.415,0.751,0.969,1.29,81.0,82.0,True,common_mode_high,13.4,1.253,10.694333599361533,1.2799999999998022,10.468750000001618
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-02-26_20.34.43,35.47,5000.0,2,41.71,3.9418,17.1762,2,1,0,1.982,2.447,9.266,0.458,21.049,4.501,0.549,-0.115,0.25,True,786.6,-1438.3,1.828,1.782,1.134,0.636,1.233,0.768,0.623,21.0,65.7,True,polarity_mismatch,41.71,1.85,22.545945945945945,2.179999999999783,19.133027522937684
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-03-11_20.19.30,42.29,5000.0,2,26.13,5.618,14.7396,2,0,1,1.81,-0.312,1.928,0.863,14.433,13.556,0.934,0.53,0.615,True,3298.7,402.9,0.122,1.754,3.201,1.825,1.172,3.295,2.811,91.9,30.5,True,common_mode_high,26.13,1.787,14.622271964185787,2.039999999999786,12.808823529413107
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-03-11_20.24.33,38.43,5000.0,2,24.72,4.033,12.5028,2,0,1,1.135,1.35,1.351,0.958,21.784,18.292,0.643,0.519,0.542,True,4280.3,1118.5,0.261,2.239,2.52,1.125,1.461,1.245,0.853,93.4,100.2,True,common_mode_high,24.72,1.128,21.914893617021278,1.3599999999998005,18.17647058823796
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-03-11_20.27.38,38.32,5000.0,2,11.69,4.6298,13.7344,2,0,1,0.573,0.573,0.484,0.952,20.416,24.133,0.601,0.808,0.849,True,3933.9,2459.5,0.625,1.389,1.213,0.874,0.764,0.764,0.999,255.8,303.7,True,common_mode_high,11.69,0.636,18.38050314465409,0.4399999999998201,26.56818181819268
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-03-11_20.31.48,39.96,5000.0,2,23.08,5.0198,13.6892,2,0,1,2.328,2.125,1.452,0.519,9.912,15.898,0.961,-0.004,0.008,True,1143.3,2819.7,2.466,1.286,2.149,1.67,0.981,1.185,1.208,13.4,49.1,True,xcorr_peak_leader_disagree;common_mode_high,23.08,2.311,9.987018606663781,-1.5600000000001373,14.794871794870492
Chilean Chile,Capsicum baccatum,BYB_Recording_2024-03-11_20.34.42,35.68,5000.0,2,18.34,4.7116,13.5614,2,0,1,1.107,0.94,1.061,0.895,16.57,17.279,0.482,0.503,0.562,True,5202.0,4426.3,0.851,0.929,1.544,1.662,0.618,0.785,1.27,96.5,434.8,True,,18.34,1.109,16.53742110009017,1.099999999999806,16.672727272730214
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-05_19.37.45,49.23,5000.0,2,,3.4908,19.0856,2,0,1,3.787,2.686,3.758,0.798,,,0.303,0.471,0.59,True,2436.2,1198.3,0.492,1.915,1.895,0.989,1.684,2.785,1.654,117.6,90.2,True,,,,,3.779999999999749,
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-07_19.05.17,36.97,5000.0,2,7.13,7.7102,22.4004,2,0,1,1.482,1.046,1.423,0.802,4.812,5.011,0.935,0.599,0.747,True,3222.0,1138.9,0.353,1.853,2.712,1.464,1.065,1.5,1.409,54.9,41.2,True,common_mode_high,7.13,1.127,6.326530612244897,1.6399999999997943,4.347560975610301
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-19_19.26.20,40.69,5000.0,2,12.43,3.6022,16.881,2,0,1,2.364,-0.898,2.39,0.692,5.258,5.2,0.57,0.408,0.59,True,9017.6,428.9,0.048,0.971,4.363,4.492,0.486,3.748,7.709,229.3,5.4,True,,12.43,2.279,5.454146555506801,2.499999999999776,4.972000000000445
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-20_20.02.17,42.55,5000.0,2,12.43,1.4034,22.0298,2,0,1,5.466,4.256,5.165,0.753,2.274,2.406,0.452,0.688,0.914,True,727.2,394.9,0.543,7.14,9.83,1.377,7.592,8.803,1.159,50.9,58.3,True,,12.43,2.279,5.454146555506801,5.859999999999705,2.121160409556421
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-20_20.07.25,38.8,5000.0,2,7.99,5.8618,19.6618,2,0,1,7.001,10.813,6.679,0.665,1.141,1.196,-0.388,-0.035,0.053,True,1321.2,170.7,0.129,1.567,3.702,2.362,7.056,3.245,0.46,118.9,8.5,True,,7.99,7.38,1.0826558265582655,6.459999999999692,1.236842105263217
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-20_20.10.44,45.83,5000.0,2,8.75,9.9502,26.4392,2,1,0,11.476,8.655,7.275,0.625,0.762,1.203,0.858,-0.077,0.123,True,-147.9,630.1,4.261,0.263,4.709,17.919,0.217,3.038,13.974,6.0,29.6,True,xcorr_peak_leader_disagree;common_mode_high;polarity_mismatch,8.75,7.017,1.2469716403021234,-7.580000000000009,1.1543535620052756
