species,recording,duration_s,potential_type,sigma,passive_gap,r2_active,r2_passive,cv_xcorr_mm_s,attenuation_far_near,broadening_far_near,xcorr_corr,peak_delay_s,valid
Tomato,BYB_Recording_2024-07-05_16.48.00,1.72,AP-like,0.05,1.1025964392508136e-05,0.2776118522848745,0.277622878249267,3.064,0.444,2.37,0.685,3.684,True
Tomato,BYB_Recording_2024-07-05_16.51.56,1.12,AP-like,0.7194915254237289,0.1740108497710806,0.543940840319473,0.7179516900905536,10.651,0.874,1.313,0.92,1.15,True
Tomato,BYB_Recording_2024-07-09_15.12.30,1.7425048639272402,AP-like,0.2508474576271186,0.006497824853698,0.9035027274315064,0.9100005522852046,,1.177,0.864,0.978,0.867,True
Tomato,BYB_Recording_2024-07-10_11.32.51,5.232507442394693,VP-like,1.188135593220339,0.347114901566628,0.3717208998858855,0.7188358014525136,,1.352,1.392,0.842,3.022,True
Venus Flytrap,BYB_Recording_2024-01-28_16.49.19,0.655,AP-like,0.3177966101694915,0.1423315756764192,0.5267546279254551,0.6690862036018743,26.55,0.192,1.135,0.641,0.503,True
Venus Flytrap,BYB_Recording_2024-05-16_22.38.00,0.59,AP-like,0.2508474576271186,0.1171023618281947,0.6423305577625875,0.7594329195907823,29.832,0.136,0.384,0.874,0.416,True
Venus Flytrap,BYB_Recording_2024-05-21_00.22.52,0.48,AP-like,0.1838983050847457,0.0979856321152036,0.6182976957212335,0.7162833278364371,19.747,0.423,0.34,0.829,0.474,True
Venus Flytrap,BYB_Recording_2024-05-22_23.31.14,0.42,AP-like,0.1169491525423728,0.0066473430359517,0.893056492732703,0.8997038357686548,28.386,0.119,1.062,0.877,0.502,True
Venus Flytrap,BYB_Recording_2024-05-22_23.36.51,0.33,AP-like,0.1169491525423728,0.1996195116362848,0.6847310319077563,0.8843505435440412,31.947,0.533,1.357,0.914,0.268,True
Venus Flytrap,BYB_Recording_2024-05-23_22.13.46,0.415,AP-like,0.1838983050847457,0.1740745665536781,0.7538398910651707,0.9279144576188488,63.382,0.477,0.898,0.948,0.207,True
Venus Flytrap,BYB_Recording_2024-05-25_20.35.34,0.675,AP-like,0.1169491525423728,0.0042055067391968,0.8788306027394672,0.8830361094786641,43.842,0.212,4.025,0.949,0.406,True
Venus Flytrap,BYB_Recording_2024-05-27_22.48.45,0.565,AP-like,0.1838983050847457,0.0730735304274813,0.8693633085144414,0.9424368389419228,27.71,0.939,1.381,0.938,0.312,True
Venus Flytrap,BYB_Recording_2024-05-29_00.04.58,0.335,AP-like,0.05,0.0129505983401739,0.59705901868071,0.610009617020884,56.047,0.479,0.733,0.729,0.222,True
Venus Flytrap,BYB_Recording_2024-05-29_00.16.30,0.58,AP-like,0.1169491525423728,0.0037540677319088,0.9517796980117796,0.9555337657436884,24.286,0.581,1.278,0.934,0.455,True
Venus Flytrap,BYB_Recording_2024-05-30_01.09.15,0.595,AP-like,0.1169491525423728,0.0109933401071876,0.9036122517193458,0.9146055918265334,,0.253,1.232,0.926,0.284,True
Venus Flytrap,BYB_Recording_2024-06-01_21.44.30,0.475,AP-like,0.1169491525423728,0.0348291660365699,0.8088873516861074,0.8437165177226773,,0.769,1.162,0.853,0.295,True
Venus Flytrap,BYB_Recording_2024-07-03_11.24.59,12.227491151168516,VP-like,0.4516949152542373,0.0932173147711452,0.1897507254380567,0.2829680402092019,22.214,0.177,1.256,0.435,0.293,True
Venus Flytrap,BYB_Recording_2025-01-10_17.18.20_Venus_11 mm_2record,3.1504887367853542,VP-like,0.5855932203389831,0.0282941986636545,0.1914490619737876,0.2197432606374422,37.884,0.231,1.409,0.409,0.29,True
Venus Flytrap,BYB_Recording_2025-01-10_17.49.47_Venus_7.5_2mm_record,7.324511849229975,VP-like,0.1838983050847457,0.0690196019719218,0.5226219151139719,0.5916415170858937,19.576,0.303,1.078,0.804,0.383,True
Venus Flytrap,BYB_Recording_2025-01-14_17.17.22-13 mm,8.952181149058859,VP-like,0.1169491525423728,0.0119787093242428,0.8632996708338987,0.8752783801581415,48.326,0.579,0.898,0.944,0.269,True
Venus Flytrap,BYB_Recording_2025-01-14_17.31.14 -11 mm,7.279576193713227,VP-like,0.2508474576271186,0.0860116209569853,0.8737185437230346,0.95973016468002,14.432,0.164,1.524,0.964,0.762,True
