species,recording,duration_s,potential_type,sigma,passive_gap,r2_active,r2_passive,cv_xcorr_mm_s,attenuation_far_near,broadening_far_near,xcorr_corr,peak_delay_s,valid
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,10.765,VP-like,0.0,0.0,0.2642686866609977,0.2642686866609977,11.718,0.247,1.102,0.679,2.161,True
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,1.155,AP-like,0.3177966101694915,0.0903241005951861,0.2061611926492373,0.2964852932444235,8.173,6.548,1.23,0.629,3.263,True
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,0.545,AP-like,0.9203389830508476,0.0859712719164149,0.0866917852612829,0.1726630571776979,3.788,19.872,2.493,0.513,6.35,True
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,0.735,AP-like,0.4516949152542373,0.0605878318374102,0.145153175878603,0.2057410077160132,8.543,0.174,2.447,0.691,0.987,True
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,28.11,VP-like,0.0,0.0,0.4025592614622181,0.4025592614622181,9.366,7.554,9.323,0.772,6.554,True
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,0.095,AP-like,0.652542372881356,0.1233622786015359,0.2687177413560706,0.3920800199576065,17.404,0.376,0.956,0.844,1.097,True
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,1.035,AP-like,0.3847457627118644,0.0645884518174562,0.646817461328073,0.7114059131455293,17.372,0.277,1.061,0.853,0.841,True
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,0.74,AP-like,0.1838983050847457,0.0209231086458483,0.3799885734768986,0.4009116821227469,4.481,0.077,1.086,0.694,3.863,True
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,0.645,AP-like,0.5855932203389831,0.0855562714778014,0.1483445306746125,0.2339008021524139,16.102,6.91,3.309,0.811,3.109,True
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,1.56,AP-like,0.7864406779661017,0.0998536061685007,0.5403711493534362,0.6402247555219369,2.034,0.164,1.09,0.808,5.061,True
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,0.795,AP-like,1.3889830508474577,0.4671798698149698,0.1528752258477779,0.6200550956627477,,0.359,4.311,0.558,7.164,True
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,0.625,AP-like,0.3177966101694915,0.1187931125087311,0.6322275254899747,0.7510206379987059,2.815,1.06,0.626,0.764,2.825,True
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,5.945,VP-like,0.1169491525423728,0.0109556323505477,0.1442176049102248,0.1551732372607726,3.361,0.508,3.417,0.535,1.327,True
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,1.285,AP-like,0.3177966101694915,0.0320127505550821,0.6821937701411951,0.7142065206962772,2.4,0.407,0.991,0.841,2.992,True
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,1.385,AP-like,0.1838983050847457,0.0235194082993724,0.764425336321689,0.7879447446210615,2.212,0.315,0.611,0.922,4.425,True
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,0.975,AP-like,0.05,0.0008454670229393,0.9675545040277744,0.9683999710507138,18.431,0.233,0.92,0.984,0.399,True
Hierbabuena,BYB_Recording_2024-03-04_20.20.54,1.96,AP-like,0.1169491525423728,0.0093186775995287,0.5872176846197852,0.5965363622193139,2.138,0.116,0.549,0.751,4.354,True
Hierbabuena,BYB_Recording_2024-03-08_21.04.08,0.87,AP-like,0.05,0.0023136563543533,0.9701800625755518,0.9724937189299052,14.902,2.239,0.804,0.985,0.5,True
Hierbabuena,BYB_Recording_2024-03-08_21.12.27,0.58,AP-like,0.5186440677966102,0.277912851566644,0.5201203097360751,0.7980331613027192,3.969,0.284,2.55,0.844,2.315,True
Hierbabuena,BYB_Recording_2024-03-08_21.18.08,0.975,AP-like,0.5855932203389831,0.0827573413389258,0.5173048634998336,0.6000622048387595,5.578,0.444,1.139,0.856,0.774,True
Hierbabuena,BYB_Recording_2024-03-08_21.22.04,0.835,AP-like,0.1838983050847457,0.0236005289661231,0.9645574757816722,0.9881580047477954,20.508,0.644,1.05,0.993,0.418,True
Hierbabuena,BYB_Recording_2024-03-08_21.24.53,0.83,AP-like,0.1169491525423728,0.0048142178692286,0.982450096792415,0.9872643146616435,19.307,0.368,1.165,0.994,0.327,True
Hierbabuena,BYB_Recording_2024-03-08_21.27.40,0.82,AP-like,0.2508474576271186,0.0340211990718024,0.7692828786962154,0.8033040777680178,6.917,0.425,0.914,0.97,0.688,True
Marijuana,BYB_Recording_2025-08-23_22.07.27-28.8mm,1.055,AP-like,0.2508474576271186,0.0208426102334682,0.8695422800399868,0.890384890273455,10.439,1.521,0.929,0.954,2.749,True
Marijuana,BYB_Recording_2025-08-23_22.55.19-22mm,1.055,AP-like,0.3177966101694915,0.0250236493813762,0.6352027121657247,0.6602263615471009,13.81,1.944,1.184,0.812,1.507,True
Marijuana,BYB_Recording_2025-08-23_23.19.28-21mm,1.75,AP-like,0.9203389830508476,0.0658166570502526,0.5738318569395302,0.6396485139897828,4.042,0.733,1.565,0.887,4.961,True
Marijuana,BYB_Recording_2025-08-23_23.30.42-22mm,1.27,AP-like,0.652542372881356,0.0616297680202657,0.5896592467465049,0.6512890147667707,7.622,0.59,1.139,0.809,2.797,True
Marijuana,BYB_Recording_2025-08-23_23.44.45-26mm,1.265,AP-like,0.7194915254237289,0.0670327005204532,0.3992844926541828,0.4663171931746361,8.835,0.451,1.264,0.828,3.095,True
Marijuana,BYB_Recording_2025-09-13_01.03.00-23.11mm,29.88,VP-like,0.5186440677966102,0.0375229392896238,0.3076943000678943,0.3452172393575181,2.103,0.73,1.186,0.804,11.409,True
Marijuana,BYB_Recording_2025-09-13_01.21.52-16.78mm,1.23,AP-like,0.1838983050847457,0.0077133623719742,0.3357750634546025,0.3434884258265768,2.849,0.648,1.041,0.823,6.165,True
Marijuana,BYB_Recording_2025-09-13_01.45.23-24.26mm,0.83,AP-like,0.1169491525423728,0.0075723633869236,0.7178929980628211,0.7254653614497448,17.662,0.814,0.771,0.868,1.251,True
Marijuana,BYB_Recording_2025-09-15_00.20.12-21.09mm,0.825,AP-like,0.7194915254237289,0.1914350595494623,0.4795825240273331,0.6710175835767955,14.608,1.193,0.736,0.884,1.484,True
Marijuana,BYB_Recording_2025-09-15_00.27.51-21.09mm,4.695,VP-like,0.9203389830508476,0.3404165665202873,0.3532986856543038,0.6937152521745911,3.907,3.201,1.468,0.763,4.121,True
Marijuana,BYB_Recording_2025-09-15_00.38.35-16.49mm,9.13,VP-like,0.7194915254237289,0.0270566946465015,0.1821891459793364,0.2092458406258379,2.039,0.92,1.355,0.796,8.309,True
Marijuana,BYB_Recording_2025-09-15_00.47.20-16.06mm,1.11,AP-like,0.1838983050847457,0.0048039019189453,0.5906896418362906,0.5954935437552359,2.969,0.216,1.272,0.784,5.446,True
Mint,BYB_Recording_2023-12-19_18.14.10,7.945,VP-like,2.527118644067796,0.0253255411100087,0.0618859057971764,0.0872114469071851,3.341,0.668,1.433,0.647,2.473,True
Mint,BYB_Recording_2024-01-26_19.52.38,6.2,VP-like,0.1838983050847457,0.0224785653328419,0.3041908585656513,0.3266694238984933,6.027,0.235,1.205,0.71,4.464,True
Mint,BYB_Recording_2024-01-26_20.00.04,4.515,VP-like,0.0,0.0,0.4043003203697104,0.4043003203697104,5.091,0.429,0.894,0.559,4.426,True
Mint,BYB_Recording_2024-01-26_20.08.19,5.17,VP-like,0.0,0.0,0.2347829252441761,0.2347829252441761,3.982,0.266,2.265,0.448,6.03,True
Mint,BYB_Recording_2024-02-09_22.29.45,0.09,AP-like,0.0,0.0,0.4032676486330748,0.4032676486330748,2.396,2.46,14.534,0.729,8.427,True
Mint,BYB_Recording_2024-02-12_19.02.16,0.43,AP-like,0.05,0.0001832773306387,0.0199881014856344,0.0201713788162731,3.821,0.194,3.328,0.573,9.416,True
Mint,BYB_Recording_2024-02-12_20.19.02,29.12,VP-like,1.121186440677966,0.020669487990871,0.1833608436517745,0.2040303316426456,3.374,0.429,0.53,0.482,9.351,True
Mint,BYB_Recording_2024-02-20_19.07.45,0.075,AP-like,0.0,0.0,0.2139020793474828,0.2139020793474828,2.707,0.197,1.419,0.752,12.21,True
Mint,BYB_Recording_2024-02-20_19.11.24,0.13,AP-like,0.0,0.0,0.5985217965617049,0.5985217965617049,2.75,2.477,10.608,0.551,4.207,True
Mint,BYB_Recording_2024-02-20_19.19.15,4.515,VP-like,0.1169491525423728,0.0024667171055077,0.625274558667662,0.6277412757731697,10.586,0.938,1.208,0.826,0.692,True
Mint,BYB_Recording_2024-02-20_19.22.59,4.07,VP-like,0.7194915254237289,0.1454547063306526,0.6848135285332442,0.8302682348638968,5.925,0.412,1.458,0.893,2.537,True
Mint,BYB_Recording_2024-02-20_19.26.22,4.18,VP-like,0.8533898305084746,0.2100768970326193,0.543158971065357,0.7532358680979764,6.483,0.289,1.24,0.832,1.759,True
Mint,BYB_Recording_2024-02-20_19.32.55,5.59,VP-like,0.8533898305084746,0.3159548820456045,0.3834126309161912,0.6993675129617958,4.56,0.173,2.046,0.786,3.569,True
Mint,BYB_Recording_2024-02-20_19.38.46,0.53,AP-like,0.3177966101694915,0.0081764679916452,0.0770133061698913,0.0851897741615366,2.67,0.145,7.646,0.555,9.406,True
Ornamental Chile,BYB_Recording_2024-02-07_19.42.39,1.02,AP-like,0.8533898305084746,0.1396767877663811,0.4705029727819537,0.6101797605483349,5.62,0.155,2.639,0.877,1.962,True
