species,recording,duration_s,potential_type,sigma,r2_active,r2_passive,passive_gap,cv_xcorr_mm_s,valid
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,28.11,VP-like,0.0,0.4025592614622181,0.4025592614622181,0.0,9.366,True
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,0.095,AP-like,0.652542372881356,0.2687177413560706,0.3920800199576065,0.1233622786015359,17.404,True
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,1.035,AP-like,0.3847457627118644,0.646817461328073,0.7114059131455293,0.0645884518174562,17.372,True
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,0.74,AP-like,0.1838983050847457,0.3799885734768986,0.4009116821227469,0.0209231086458483,4.481,True
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,0.645,AP-like,0.5855932203389831,0.1483445306746125,0.2339008021524139,0.0855562714778014,16.102,True
Hierbabuena,BYB_Recording_2024-02-22_17.09.43,2.625,VP-like,1.188135593220339,0.1113036856695451,0.4176248385322599,0.3063211528627148,1.998,False
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,1.56,AP-like,0.7864406779661017,0.5403711493534362,0.6402247555219369,0.0998536061685007,2.034,True
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,0.795,AP-like,1.3889830508474577,0.1528752258477779,0.6200550956627477,0.4671798698149698,,True
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,0.625,AP-like,0.3177966101694915,0.6322275254899747,0.7510206379987059,0.1187931125087311,2.815,True
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,5.945,VP-like,0.1169491525423728,0.1442176049102248,0.1551732372607726,0.0109556323505477,3.361,True
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,1.285,AP-like,0.3177966101694915,0.6821937701411951,0.7142065206962772,0.0320127505550821,2.4,True
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,1.385,AP-like,0.1838983050847457,0.764425336321689,0.7879447446210615,0.0235194082993724,2.212,True
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,0.975,AP-like,0.05,0.9675545040277744,0.9683999710507138,0.0008454670229393,18.431,True
Hierbabuena,BYB_Recording_2024-03-04_20.20.54,1.96,AP-like,0.1169491525423728,0.5872176846197852,0.5965363622193139,0.0093186775995287,2.138,True
Hierbabuena,BYB_Recording_2024-03-08_21.04.08,0.87,AP-like,0.05,0.9701800625755518,0.9724937189299052,0.0023136563543533,14.902,True
Hierbabuena,BYB_Recording_2024-03-08_21.06.56,1.01,AP-like,0.0,0.9662556717214172,0.9662556717214172,0.0,,False
Hierbabuena,BYB_Recording_2024-03-08_21.12.27,0.58,AP-like,0.5186440677966102,0.5201203097360751,0.7980331613027192,0.277912851566644,3.969,True
Hierbabuena,BYB_Recording_2024-03-08_21.18.08,0.975,AP-like,0.5855932203389831,0.5173048634998336,0.6000622048387595,0.0827573413389258,5.578,True
Hierbabuena,BYB_Recording_2024-03-08_21.22.04,0.835,AP-like,0.1838983050847457,0.9645574757816722,0.9881580047477954,0.0236005289661231,20.508,True
Hierbabuena,BYB_Recording_2024-03-08_21.24.53,0.83,AP-like,0.1169491525423728,0.982450096792415,0.9872643146616435,0.0048142178692286,19.307,True
Hierbabuena,BYB_Recording_2024-03-08_21.27.40,0.82,AP-like,0.2508474576271186,0.7692828786962154,0.8033040777680178,0.0340211990718024,6.917,True
Marijuana,BYB_Recording_2025-08-23_22.07.27-28.8mm,1.055,AP-like,0.2508474576271186,0.8695422800399868,0.890384890273455,0.0208426102334682,10.439,True
Marijuana,BYB_Recording_2025-08-23_22.55.19-22mm,1.055,AP-like,0.3177966101694915,0.6352027121657247,0.6602263615471009,0.0250236493813762,13.81,True
Marijuana,BYB_Recording_2025-08-23_23.19.28-21mm,1.75,AP-like,0.9203389830508476,0.5738318569395302,0.6396485139897828,0.0658166570502526,4.042,True
Marijuana,BYB_Recording_2025-08-23_23.30.42-22mm,1.27,AP-like,0.652542372881356,0.5896592467465049,0.6512890147667707,0.0616297680202657,7.622,True
Marijuana,BYB_Recording_2025-08-23_23.44.45-26mm,1.265,AP-like,0.7194915254237289,0.3992844926541828,0.4663171931746361,0.0670327005204532,8.835,True
Marijuana,BYB_Recording_2025-09-13_01.03.00-23.11mm,29.88,VP-like,0.5186440677966102,0.3076943000678943,0.3452172393575181,0.0375229392896238,2.103,True
Marijuana,BYB_Recording_2025-09-13_01.21.52-16.78mm,1.23,AP-like,0.1838983050847457,0.3357750634546025,0.3434884258265768,0.0077133623719742,2.849,True
Marijuana,BYB_Recording_2025-09-13_01.45.23-24.26mm,0.83,AP-like,0.1169491525423728,0.7178929980628211,0.7254653614497448,0.0075723633869236,17.662,True
Marijuana,BYB_Recording_2025-09-13_01.52.20-21.60mm,3.49,VP-like,0.3847457627118644,0.1538751458488777,0.1998066529559874,0.0459315071071096,45.821,False
Marijuana,BYB_Recording_2025-09-15_00.20.12-21.09mm,0.825,AP-like,0.7194915254237289,0.4795825240273331,0.6710175835767955,0.1914350595494623,14.608,True
Marijuana,BYB_Recording_2025-09-15_00.27.51-21.09mm,4.695,VP-like,0.9203389830508476,0.3532986856543038,0.6937152521745911,0.3404165665202873,3.907,True
Marijuana,BYB_Recording_2025-09-15_00.38.35-16.49mm,9.13,VP-like,0.7194915254237289,0.1821891459793364,0.2092458406258379,0.0270566946465015,2.039,True
Marijuana,BYB_Recording_2025-09-15_00.47.20-16.06mm,1.11,AP-like,0.1838983050847457,0.5906896418362906,0.5954935437552359,0.0048039019189453,2.969,True
Mint,BYB_Recording_2023-12-19_18.14.10,7.945,VP-like,2.527118644067796,0.0618859057971764,0.0872114469071851,0.0253255411100087,3.341,True
Mint,BYB_Recording_2024-01-26_19.52.38,6.2,VP-like,0.1838983050847457,0.3041908585656513,0.3266694238984933,0.0224785653328419,6.027,True
Mint,BYB_Recording_2024-01-26_20.00.04,4.515,VP-like,0.0,0.4043003203697104,0.4043003203697104,0.0,5.091,True
Mint,BYB_Recording_2024-01-26_20.08.19,5.17,VP-like,0.0,0.2347829252441761,0.2347829252441761,0.0,3.982,True
Mint,BYB_Recording_2024-02-09_22.29.45,0.09,AP-like,0.0,0.4032676486330748,0.4032676486330748,0.0,2.396,True
Mint,BYB_Recording_2024-02-12_19.02.16,0.43,AP-like,0.05,0.0199881014856344,0.0201713788162731,0.0001832773306387,3.821,True
Mint,BYB_Recording_2024-02-12_20.19.02,29.12,VP-like,1.121186440677966,0.1833608436517745,0.2040303316426456,0.020669487990871,3.374,True
Mint,BYB_Recording_2024-02-20_19.07.45,0.075,AP-like,0.0,0.2139020793474828,0.2139020793474828,0.0,2.707,True
Mint,BYB_Recording_2024-02-20_19.11.24,0.13,AP-like,0.0,0.5985217965617049,0.5985217965617049,0.0,2.75,True
Mint,BYB_Recording_2024-02-20_19.19.15,4.515,VP-like,0.1169491525423728,0.625274558667662,0.6277412757731697,0.0024667171055077,10.586,True
Mint,BYB_Recording_2024-02-20_19.22.59,4.07,VP-like,0.7194915254237289,0.6848135285332442,0.8302682348638968,0.1454547063306526,5.925,True
Mint,BYB_Recording_2024-02-20_19.26.22,4.18,VP-like,0.8533898305084746,0.543158971065357,0.7532358680979764,0.2100768970326193,6.483,True
Mint,BYB_Recording_2024-02-20_19.32.55,5.59,VP-like,0.8533898305084746,0.3834126309161912,0.6993675129617958,0.3159548820456045,4.56,True
Mint,BYB_Recording_2024-02-20_19.38.46,0.53,AP-like,0.3177966101694915,0.0770133061698913,0.0851897741615366,0.0081764679916452,2.67,True
Ornamental Chile,BYB_Recording_2024-02-07_19.42.39,1.02,AP-like,0.8533898305084746,0.4705029727819537,0.6101797605483349,0.1396767877663811,5.62,True
Ornamental Chile,BYB_Recording_2024-02-07_19.48.46,0.08,AP-like,1.3220338983050848,0.3049509749062143,0.5429803137348767,0.2380293388286622,3.766,True
Ornamental Chile,BYB_Recording_2024-02-12_19.32.29,10.695,VP-like,1.0542372881355933,0.3904472679712941,0.5971329299263302,0.206685661955036,4.749,True
Ornamental Chile,BYB_Recording_2024-02-19_18.55.40,7.31,VP-like,1.3220338983050848,0.2352099426971173,0.5973326391462825,0.3621226964491651,9.854,True
Ornamental Chile,BYB_Recording_2024-02-19_18.58.46,1.52,AP-like,1.188135593220339,0.0694826534398033,0.1201631296818848,0.0506804762420814,2.311,True
Ornamental Chile,BYB_Recording_2024-02-19_19.03.24,0.87,AP-like,0.7864406779661017,0.5196077454745633,0.8633484391635753,0.3437406936890119,13.772,True
Ornamental Chile,BYB_Recording_2024-02-19_19.07.47,1.5,AP-like,1.0542372881355933,0.3451210507391331,0.4530530975294553,0.1079320467903222,16.948,True
Ornamental Chile,BYB_Recording_2024-02-19_19.10.37,1.01,AP-like,0.9203389830508476,0.339352838414094,0.6770101197359937,0.3376572813218996,3.843,True
Ornamental Chile,BYB_Recording_2024-02-19_19.17.58,0.85,AP-like,0.652542372881356,0.4100085945827859,0.5583620991642548,0.1483535045814689,4.134,True
Ornamental Chile,BYB_Recording_2024-02-22_17.57.13,1.35,AP-like,0.5186440677966102,0.8771614369232892,0.9610857285210668,0.0839242915977777,5.848,True
Ornamental Chile,BYB_Recording_2024-02-22_18.00.13,1.195,AP-like,1.255084745762712,0.565455981398161,0.9218091334840378,0.3563531520858768,5.935,True
Ornamental Chile,BYB_Recording_2024-02-23_19.53.15,8.7,VP-like,1.6567796610169492,0.2669081762614359,0.5011553531170996,0.2342471768556636,9.149,True
Ornamental Chile,BYB_Recording_2024-02-23_19.55.48,1.9,AP-like,0.0,0.3565990974305928,0.3565990974305928,0.0,2.552,True
Ornamental Chile,BYB_Recording_2024-02-23_19.59.02,1.025,AP-like,0.05,0.7583769569649796,0.7590199556732269,0.0006429987082472,7.959,True
Ornamental Chile,BYB_Recording_2024-02-23_20.04.22,0.845,AP-like,0.5855932203389831,0.1843453727637226,0.2351936102124046,0.0508482374486819,1.698,True
Rosemary,BYB_Recording_2024-02-15_21.13.19,3.98,VP-like,0.3847457627118644,0.1800989621961032,0.1813776370840276,0.0012786748879244,2.594,True
Rosemary,BYB_Recording_2024-02-15_21.20.04,1.345,AP-like,1.5898305084745763,0.0493609483896643,0.092786238573432,0.0434252901837677,2.723,True
Rosemary,BYB_Recording_2024-02-15_21.27.05,8.72,VP-like,1.723728813559322,0.0678660774102829,0.0823950382134532,0.0145289608031703,3.366,True
Rosemary,BYB_Recording_2024-02-19_19.56.50,4.49,VP-like,0.7864406779661017,0.2693661511877598,0.5923561256785037,0.3229899744907438,4.242,True
Rosemary,BYB_Recording_2024-02-23_19.35.51,1.275,AP-like,0.1169491525423728,0.7864292195588641,0.7955725111588721,0.0091432916000079,19.64,True
Rosemary,BYB_Recording_2024-02-26_18.50.08,0.885,AP-like,0.0,0.4364411251136711,0.4364411251136711,0.0,,True
Rosemary,BYB_Recording_2024-02-26_19.06.39,0.085,AP-like,0.0,0.5402261143105676,0.5402261143105676,0.0,30.133,False
Rosemary,BYB_Recording_2024-02-26_19.10.25,1.305,AP-like,0.5855932203389831,0.5698807975959357,0.6182011203252878,0.0483203227293521,4.241,True
Rosemary,BYB_Recording_2024-02-29_17.20.55,1.34,AP-like,0.3177966101694915,0.916164352755216,0.9432060493851404,0.0270416966299242,,True
Ruda,BYB_Recording_2024-01-17_20.14.33,0.66,AP-like,0.1838983050847457,0.8082462654108126,0.8379478652981674,0.0297015998873548,31.472,True
Ruda,BYB_Recording_2024-02-05_19.17.48,7.14,VP-like,0.2508474576271186,0.1762678324467356,0.2172639517611659,0.0409961193144303,10.016,True
Ruda,BYB_Recording_2024-02-20_19.48.40,3.04,VP-like,1.6567796610169492,0.0806264945878098,0.1443342041776102,0.0637077095898004,7.189,True
Ruda,BYB_Recording_2024-02-20_19.51.32,5.805,VP-like,0.9872881355932204,0.5295647599114093,0.7683128407063542,0.2387480807949449,8.639,True
Ruda,BYB_Recording_2024-02-20_19.54.12,6.875,VP-like,0.5855932203389831,0.4500211617945229,0.4881514764943401,0.0381303146998172,11.123,True
Ruda,BYB_Recording_2024-02-20_19.57.31,0.685,AP-like,0.4516949152542373,0.5253062087992437,0.6676968710999127,0.142390662300669,9.49,True
Ruda,BYB_Recording_2024-02-22_18.37.41,1.29,AP-like,1.121186440677966,0.1929415320160904,0.3803828323797318,0.1874413003636413,2.665,True
Ruda,BYB_Recording_2024-02-22_18.44.37,0.91,AP-like,1.3220338983050848,0.0428748122163558,0.0825530827271652,0.0396782705108094,3.053,True
Ruda,BYB_Recording_2024-02-23_20.25.25,1.195,AP-like,0.4516949152542373,0.6069018955180792,0.6608272366041409,0.0539253410860617,14.51,True
Ruda,BYB_Recording_2024-02-29_16.58.27,5.45,VP-like,0.1169491525423728,0.6308973994480125,0.6354275263556929,0.0045301269076803,,True
Ruda,BYB_Recording_2024-03-04_19.50.01,1.275,AP-like,0.1838983050847457,0.7925966644426495,0.8041879057613917,0.0115912413187421,18.344,True
Ruda,BYB_Recording_2024-03-04_20.01.12,0.75,AP-like,2.12542372881356,0.1864582535341939,0.2916746169110327,0.1052163633768387,2.904,True
Ruda,BYB_Recording_2024-03-06_21.31.33,1.14,AP-like,0.2508474576271186,0.9355491736487636,0.9595529865455288,0.0240038128967652,15.841,True
Ruda,BYB_Recording_2024-03-06_21.44.52,4.62,VP-like,0.3847457627118644,0.6660161031416983,0.8363456633286546,0.1703295601869562,29.198,True
Sensitive Mimosa,BYB_Recording_2021-07-26_12.46.45,0.115,AP-like,0.3847457627118644,0.320440137112095,0.3708280419108135,0.0503879047987184,86.73,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.07.10,0.745,AP-like,0.1838983050847457,0.8785803491020341,0.907923289705106,0.0293429406030718,19.722,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.25.17,0.92,AP-like,0.1838983050847457,0.8313546826780212,0.8470556858611109,0.0157010031830897,11.256,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.42.19,0.765,AP-like,0.2508474576271186,0.7939103478522895,0.8553484290593529,0.0614380812070634,11.18,True
Sensitive Mimosa,BYB_Recording_2024-06-27_18.31.29,2.005,VP-like,0.05,0.6399501725252685,0.6417140028614984,0.0017638303362298,10.725,True
Sensitive Mimosa,BYB_Recording_2024-06-27_18.48.14,12.645,VP-like,0.1169491525423728,0.504941403423494,0.5243384645008352,0.0193970610773411,33.101,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.01.26,0.775,AP-like,0.05,0.7258546243288242,0.7270988981921513,0.0012442738633271,15.536,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.15.52,0.42,AP-like,0.1838983050847457,0.7960453207484862,0.9029875068855376,0.1069421861370515,22.268,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.57.29,0.735,AP-like,0.0,0.9441607737373966,0.9441607737373966,0.0,32.319,True
Sensitive Mimosa,BYB_Recording_2024-07-08_16.06.58,0.635,AP-like,0.3177966101694915,0.8372124037865378,0.8873464062615969,0.050134002475059,,True
Sensitive Mimosa,BYB_Recording_2024-07-08_17.02.56,1.035,AP-like,0.2508474576271186,0.889999017606403,0.9084474761218636,0.0184484585154605,7.424,True
Sensitive Mimosa,BYB_Recording_2024-07-08_17.19.08,0.89,AP-like,0.1169491525423728,0.9510238087380332,0.980060245483518,0.0290364367454848,,False
Sensitive Mimosa,BYB_Recording_2024-07-10_12.31.11,18.27383324347765,VP-like,0.05,0.4304779908172663,0.4320131163364307,0.0015351255191643,,True
